"Name","Year","State"
"Annie",1910.0,"AK"
"Lucy",1910.0,"AK"
"Dorothy",1910.0,"AK"
"Mary",1912.0,"AK"
"Helen",1912.0,"AK"
"Martha",1914.0,"AK"
"Esther",1914.0,"AK"
"Helen",1917.0,"AK"
"Martha",1918.0,"AK"
"Betty",1919.0,"AK"
"Hazel",1920.0,"AK"
"Frances",1922.0,"AK"
"Edna",1923.0,"AK"
"Beatrice",1925.0,"AK"
"Katherine",1925.0,"AK"
"Mary",1927.0,"AK"
"Elsie",1928.0,"AK"
"Martha",1928.0,"AK"
"Betty",1929.0,"AK"
"Virginia",1930.0,"AK"
"Joan",1930.0,"AK"
"Sophie",1930.0,"AK"
"Anna",1931.0,"AK"
"Elizabeth",1932.0,"AK"
"Nancy",1932.0,"AK"
"Irene",1937.0,"AK"
"Virginia",1938.0,"AK"
"Carol",1939.0,"AK"
"Janet",1939.0,"AK"
"Barbara",1940.0,"AK"
"Barbara",1941.0,"AK"
"Agnes",1941.0,"AK"
"Annie",1941.0,"AK"
"Florence",1941.0,"AK"
"Ruth",1941.0,"AK"
"Helen",1942.0,"AK"
"Sandra",1942.0,"AK"
"Sally",1942.0,"AK"
"Roberta",1943.0,"AK"
"Barbara",1944.0,"AK"
"Joan",1944.0,"AK"
"Carol",1945.0,"AK"
"Marie",1945.0,"AK"
"Judy",1945.0,"AK"
"Lillian",1946.0,"AK"
"Darlene",1946.0,"AK"
"Edna",1946.0,"AK"
"Jessie",1946.0,"AK"
"Mary",1947.0,"AK"
"Christine",1947.0,"AK"
"Peggy",1947.0,"AK"
"Alice",1947.0,"AK"
"Anne",1947.0,"AK"
"Margie",1947.0,"AK"
"Christine",1948.0,"AK"
"Marilyn",1948.0,"AK"
"Judy",1948.0,"AK"
"Julia",1948.0,"AK"
"Mary",1949.0,"AK"
"Elizabeth",1949.0,"AK"
"Charlene",1949.0,"AK"
"Eleanor",1949.0,"AK"
"Linda",1950.0,"AK"
"Susan",1950.0,"AK"
"Karen",1950.0,"AK"
"Judith",1950.0,"AK"
"Alice",1950.0,"AK"
"Rita",1950.0,"AK"
"Arlene",1950.0,"AK"
"Lillian",1950.0,"AK"
"Alice",1951.0,"AK"
"Pauline",1951.0,"AK"
"Gloria",1951.0,"AK"
"Dorothy",1952.0,"AK"
"Gloria",1952.0,"AK"
"Valerie",1952.0,"AK"
"Kathleen",1953.0,"AK"
"Pamela",1953.0,"AK"
"Cheryl",1953.0,"AK"
"Laurie",1953.0,"AK"
"Bonnie",1953.0,"AK"
"Jean",1953.0,"AK"
"Paula",1953.0,"AK"
"Clara",1953.0,"AK"
"Emma",1953.0,"AK"
"Pauline",1953.0,"AK"
"Rita",1953.0,"AK"
"Mary",1954.0,"AK"
"Judith",1954.0,"AK"
"Sherry",1954.0,"AK"
"Cathy",1954.0,"AK"
"Leslie",1954.0,"AK"
"Sarah",1954.0,"AK"
"Diana",1954.0,"AK"
"Grace",1954.0,"AK"
"Donna",1955.0,"AK"
"Peggy",1955.0,"AK"
"Sarah",1955.0,"AK"
"Vicky",1955.0,"AK"
"Frances",1955.0,"AK"
"Melissa",1955.0,"AK"
"April",1955.0,"AK"
"Deborah",1956.0,"AK"
"Sharon",1956.0,"AK"
"Kathryn",1956.0,"AK"
"Tina",1956.0,"AK"
"Kathy",1956.0,"AK"
"Kimberly",1956.0,"AK"
"Angela",1956.0,"AK"
"Karla",1956.0,"AK"
"Maureen",1956.0,"AK"
"Irene",1956.0,"AK"
"Jan",1956.0,"AK"
"Kelly",1956.0,"AK"
"Lydia",1956.0,"AK"
"Violet",1956.0,"AK"
"Rose",1957.0,"AK"
"Diana",1957.0,"AK"
"Glenda",1957.0,"AK"
"Jean",1957.0,"AK"
"Jeanette",1957.0,"AK"
"Rachel",1957.0,"AK"
"Sheryl",1957.0,"AK"
"Sylvia",1957.0,"AK"
"Debra",1958.0,"AK"
"Carolyn",1958.0,"AK"
"Denise",1958.0,"AK"
"Paula",1958.0,"AK"
"Clara",1958.0,"AK"
"Beth",1958.0,"AK"
"Rita",1958.0,"AK"
"Kathy",1959.0,"AK"
"Christine",1959.0,"AK"
"Bonnie",1959.0,"AK"
"Joan",1959.0,"AK"
"Josephine",1959.0,"AK"
"Doris",1959.0,"AK"
"Agnes",1959.0,"AK"
"Minnie",1959.0,"AK"
"Nina",1959.0,"AK"
"Yvonne",1959.0,"AK"
"Denise",1960.0,"AK"
"Terry",1960.0,"AK"
"Cheri",1960.0,"AK"
"Donna",1961.0,"AK"
"Cynthia",1961.0,"AK"
"Carol",1961.0,"AK"
"Margaret",1961.0,"AK"
"Wanda",1961.0,"AK"
"Judy",1961.0,"AK"
"Gloria",1961.0,"AK"
"Lynn",1961.0,"AK"
"Peggy",1961.0,"AK"
"Jean",1961.0,"AK"
"April",1961.0,"AK"
"Juanita",1961.0,"AK"
"Susan",1962.0,"AK"
"Brenda",1962.0,"AK"
"Debbie",1962.0,"AK"
"Stephanie",1962.0,"AK"
"Agnes",1962.0,"AK"
"Jane",1962.0,"AK"
"Nora",1962.0,"AK"
"Nellie",1962.0,"AK"
"Sandra",1963.0,"AK"
"Brenda",1963.0,"AK"
"Kimberly",1963.0,"AK"
"Jennifer",1963.0,"AK"
"Maria",1963.0,"AK"
"Jane",1963.0,"AK"
"Ronda",1963.0,"AK"
"Terry",1963.0,"AK"
"Virginia",1963.0,"AK"
"Kristine",1963.0,"AK"
"Melinda",1963.0,"AK"
"Patricia",1964.0,"AK"
"Deborah",1964.0,"AK"
"Kathleen",1964.0,"AK"
"Ann",1964.0,"AK"
"Vivian",1964.0,"AK"
"Lydia",1964.0,"AK"
"Peggy",1964.0,"AK"
"Tamara",1964.0,"AK"
"Christine",1965.0,"AK"
"Debra",1965.0,"AK"
"Kathy",1965.0,"AK"
"Maria",1965.0,"AK"
"Anita",1965.0,"AK"
"Ramona",1965.0,"AK"
"Denise",1966.0,"AK"
"Catherine",1966.0,"AK"
"Maria",1966.0,"AK"
"Melissa",1966.0,"AK"
"Tamara",1966.0,"AK"
"Della",1966.0,"AK"
"Grace",1966.0,"AK"
"Joelle",1966.0,"AK"
"Yvonne",1966.0,"AK"
"Teresa",1967.0,"AK"
"Wendy",1967.0,"AK"
"Kim",1967.0,"AK"
"Kimberly",1968.0,"AK"
"Deborah",1968.0,"AK"
"Barbara",1968.0,"AK"
